2024-02-15 22:30:04 Waiting for mongo:27017...
2024-02-15 22:30:05 Thu Feb 15 20:30:05 UTC 2024 retrying to connect to mongo:27017 (2/10)
2024-02-15 22:30:06 Thu Feb 15 20:30:06 UTC 2024 retrying to connect to mongo:27017 (3/10)
2024-02-15 22:30:07 Thu Feb 15 20:30:07 UTC 2024 retrying to connect to mongo:27017 (4/10)
2024-02-15 22:30:09 No custom config.js found, loading config.default.js
2024-02-15 22:30:09 Welcome to mongo-express 1.0.2
2024-02-15 22:30:04 /docker-entrypoint.sh: connect: Connection refused
2024-02-15 22:30:04 /docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Connection refused
2024-02-15 22:30:05 /docker-entrypoint.sh: connect: Connection refused
2024-02-15 22:30:05 /docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Connection refused
2024-02-15 22:30:06 /docker-entrypoint.sh: connect: Connection refused
2024-02-15 22:30:06 /docker-entrypoint.sh: line 15: /dev/tcp/mongo/27017: Connection refused
2024-02-15 22:30:09 ------------------------
2024-02-15 22:30:09 
2024-02-15 22:30:09 
2024-02-15 22:30:10 Mongo Express server listening at http://0.0.0.0:8081
2024-02-15 22:37:26 GET /public/css/bootstrap-theme.min.css 304 1.539 ms - -
2024-02-15 22:37:26 GET /public/css/style.css 304 4.410 ms - -
2024-02-15 22:37:26 GET /public/vendor-93f5fc3ae20e0dfd68cb.min.js 304 4.370 ms - -
2024-02-15 22:37:26 GET /public/img/mongo-express-logo.png 304 1.743 ms - -
2024-02-15 22:37:26 GET /public/index-56afe067afbbbde795be.min.js 304 0.558 ms - -
2024-02-15 22:37:26 GET /public/img/gears.gif 304 0.391 ms - -
2024-02-15 22:38:49 GET / 200 29.224 ms - 9980
2024-02-15 22:38:49 GET /public/css/bootstrap-theme.min.css 304 0.593 ms - -
2024-02-15 22:38:50 GET /public/css/style.css 304 0.683 ms - -
2024-02-15 22:38:50 GET /public/css/bootstrap.min.css 304 0.438 ms - -
2024-02-15 22:38:50 GET /public/img/mongo-express-logo.png 304 3.818 ms - -
2024-02-15 22:38:50 GET /public/vendor-93f5fc3ae20e0dfd68cb.min.js 304 2.917 ms - -
2024-02-15 22:38:50 GET /public/index-56afe067afbbbde795be.min.js 304 1.212 ms - -
2024-02-15 22:38:50 GET /public/img/gears.gif 304 0.458 ms - -
2024-02-15 22:41:30 GET / 200 24.860 ms - 9980
2024-02-15 22:41:30 GET /public/img/mongo-express-logo.png 304 0.457 ms - -
2024-02-15 22:41:30 GET /public/css/bootstrap-theme.min.css 304 1.147 ms - -
2024-02-15 22:41:30 GET /public/css/bootstrap.min.css 304 2.621 ms - -
2024-02-15 22:41:30 GET /public/img/gears.gif 304 0.934 ms - -
2024-02-15 22:41:30 GET /public/css/style.css 304 0.679 ms - -
2024-02-15 22:41:30 GET /public/index-56afe067afbbbde795be.min.js 304 1.210 ms - -
2024-02-15 22:41:30 GET /public/vendor-93f5fc3ae20e0dfd68cb.min.js 304 1.050 ms - -
2024-02-15 22:41:30 GET /public/fonts/glyphicons-halflings-regular.woff2 304 0.388 ms - -
